Tag;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;121;322;425;254;351;586;488;269;165;117;127;162
2;115;376;394;305;336;612;464;255;161;114;119;152
3;112;467;368;376;358;583;443;249;158;126;118;143
4;114;541;369;368;376;596;429;260;153;121;108;137
5;130;548;392;333;378;593;420;257;161;114;105;131
6;165;534;433;321;366;578;403;254;155;109;105;128
7;206;521;472;331;350;585;387;252;149;102;108;124
8;265;502;480;341;334;569;369;261;146;101;117;119
9;286;479;476;338;311;532;352;282;163;95;126;118
10;299;488;457;314;293;514;331;285;175;89;143;116
11;298;583;432;305;276;514;319;273;178;89;155;115
12;314;627;404;289;269;512;301;263;169;90;160;108
13;383;627;378;278;264;509;287;253;164;87;178;101
14;465;581;351;263;264;530;283;247;158;80;227;103
15;518;543;334;273;288;572;294;243;155;78;249;97
16;513;545;317;281;343;580;326;231;152;76;229;97
17;479;538;299;281;396;587;353;225;145;76;219;98
18;436;509;288;296;432;590;363;214;138;78;213;93
19;390;471;277;372;437;587;359;206;138;78;219;92
20;339;435;263;457;413;593;345;203;147;83;235;90
21;314;407;251;472;388;599;328;206;163;91;244;85
22;291;417;248;444;372;593;311;209;157;101;257;82
23;274;472;238;414;363;569;313;214;151;119;276;87
24;255;504;231;387;350;544;315;208;144;120;279;88
25;247;544;226;360;337;517;328;196;135;116;265;90
26;251;555;224;345;334;530;311;194;132;111;240;87
27;262;538;221;352;344;556;298;188;125;122;217;89
28;266;497;224;371;367;552;281;184;120;130;201;90
29;270;462;229;372;370;529;288;179;116;136;188;88
30;273;;229;367;363;508;290;173;119;139;174;83
31;286;;244;;424;;280;168;;140;;82
