Tag;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;426;570;270;318;272;245;165;95;88;62;60;33
2;519;564;259;337;281;287;163;94;77;58;63;39
3;588;596;254;339;258;362;157;88;80;54;55;47
4;630;604;249;343;251;349;149;90;85;52;61;75
5;692;578;248;335;250;304;146;87;107;56;56;149
6;725;546;252;335;243;277;152;83;115;66;58;212
7;779;509;254;349;234;258;162;84;116;71;52;215
8;818;476;259;343;225;249;171;77;112;67;48;218
9;837;444;263;327;217;261;183;80;104;64;43;195
10;806;420;273;305;215;281;182;79;106;54;42;202
11;720;393;288;301;213;292;176;58;98;63;44;265
12;643;377;296;299;223;307;163;80;99;59;48;284
13;579;369;297;306;232;328;155;87;94;54;59;288
14;529;357;323;299;255;385;149;89;88;53;62;267
15;487;346;347;309;254;355;142;87;74;47;72;241
16;456;334;363;333;276;342;131;87;69;56;63;212
17;438;320;369;312;288;345;124;83;66;52;52;193
18;466;325;373;292;281;330;122;84;72;51;45;181
19;526;358;363;277;290;304;124;79;68;36;44;166
20;588;405;340;266;292;279;120;76;69;31;38;155
21;629;419;324;259;286;259;122;74;58;36;33;151
22;670;410;308;249;273;245;115;73;56;26;43;164
23;690;392;298;251;268;228;115;72;57;25;34;217
24;688;376;290;248;256;218;119;68;72;25;30;267
25;712;351;285;245;255;209;130;65;86;27;34;363
26;753;328;283;254;258;202;125;67;92;26;31;451
27;778;304;272;257;261;190;119;68;80;28;32;484
28;777;288;263;258;255;186;111;76;81;27;33;473
29;724;;259;258;242;180;105;83;77;27;33;425
30;665;;261;256;240;174;100;86;70;26;34;362
31;612;;289;;236;;97;88;;42;;321
