Tag;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;268;245;243;361;387;278;225;193;338;130;107;84
2;252;237;230;370;365;270;232;198;325;141;101;86
3;253;240;219;370;345;271;226;183;314;152;100;91
4;260;250;214;342;325;264;221;164;305;164;104;88
5;275;249;209;317;311;263;215;164;294;180;108;106
6;291;246;205;297;319;259;207;182;280;208;120;146
7;285;243;199;279;330;257;206;224;257;226;121;204
8;294;232;194;274;350;261;204;220;240;240;128;223
9;297;215;186;289;377;256;225;206;228;232;121;212
10;301;201;189;296;400;249;230;196;220;213;117;199
11;286;197;193;349;410;246;226;193;212;200;105;181
12;267;226;217;355;404;241;225;192;217;184;102;160
13;257;295;239;346;377;231;214;186;236;169;97;150
14;243;447;268;328;352;224;209;181;264;159;95;136
15;235;600;293;309;333;213;205;189;267;148;91;127
16;229;654;280;296;341;206;201;201;258;142;101;120
17;219;614;270;282;339;208;191;195;246;132;93;132
18;209;547;289;275;324;209;179;185;236;127;95;150
19;207;492;339;275;315;210;172;198;224;117;101;166
20;224;433;386;311;318;204;162;209;222;119;93;194
21;284;392;405;395;314;195;157;194;225;110;90;193
22;356;364;390;445;298;185;163;192;208;112;86;182
23;424;342;379;473;295;179;174;194;194;121;86;170
24;494;326;359;468;293;177;175;220;177;122;81;165
25;473;311;341;439;296;176;169;278;165;125;85;163
26;420;290;329;413;311;172;173;380;157;127;86;165
27;367;274;328;406;328;172;167;421;152;132;84;162
28;330;259;351;432;315;183;174;408;145;127;83;160
29;300;;360;426;294;180;188;378;144;114;82;157
30;278;;360;410;284;189;195;360;133;112;85;147
31;258;;358;;279;;195;344;;106;;136
